bred_for,breed_group,country_code,country_codes,description,history,id,image_url,imperial_height,imperial_weight,life_span,metric_height,metric_weight,name,origin,perfect_for,species_id,temperament
,Herding,FR,FR,"Large, powerful French herding dog with distinctive double dewclaws, short double coat, and black and tan markings. Known for its self-assured demeanor and versatility as both guardian and companion.","Ancient French herding breed also known as Berger de Beauce, developed in plains surrounding Paris for herding and protecting sheep and cattle. Shares ancestry with the Briard, nearly extinct after World War II but saved by dedicated breeders. Also used for military and police work.",33,https://storage.googleapis.com/dog-api-uploads-prod/originals/088fe40b-4fac-4bf7-a875-26a1738e744d.jpeg,Male: 25.5-27.5; Female: 24-26.5,70-110,10-12,Male: 65-70; Female: 61-68,32-50,Beauceron,France,,2,"Intelligent, loyal, protective, courageous, confident"
,Terrier,GB,GB,"Distinctive lamb-like terrier with graceful, lithe build, arched back, pear-shaped head, and crisp curly coat that gives it a unique appearance among terrier breeds","Developed in Bedlington, Northumberland in the early 19th century for hunting vermin in mines and farms. Known as the 'Gypsy Dog' due to use by poachers. Lineage includes Dandie Dinmont Terrier, Whippet, and Otterhound crosses. Recognized by The Kennel Club in 1877 and AKC in 1886.",34,https://storage.googleapis.com/dog-api-uploads-prod/originals/3c9deb26-4c93-4dd0-86db-17e45ba11de3.jpeg,Male: 16-17.5; Female: 15-16.5,17-23,11-16,Male: 41-44; Female: 38-42,8-10,Bedlington Terrier,England (Northumberland),,2,"Intelligent, affectionate, energetic, playful, courageous, alert"
,Herding,BE,BE,"Medium-sized, athletic herding dog that is squarely built with a proud carriage. Known for its intense intelligence and strong work ethic, particularly suited for police and military roles. Features a short fawn-to-mahogany coat with distinctive black mask and ears.","Developed in the area around Malines, Belgium, in the late 19th century as one of four varieties of Belgian Shepherd dogs. Originally bred for herding ability and strong work ethic, quickly adopted by police forces and militaries worldwide. AKC recognized as distinct breed in 1959.",36,https://storage.googleapis.com/dog-api-uploads-prod/originals/e197d407-3e8d-4edd-adb7-daac0a4214fc.png,Male: 24-26; Female: 22-24,Male: 60-80; Female: 40-60,,Male: 61-66; Female: 56-61,Male: 27-36; Female: 18-27,Belgian Malinois,Belgium,,2,"Intelligent, confident, energetic, loyal, alert, work-focused, protective"
,Herding,BE,BE,"Elegant, athletic medium-sized herding dog with a long double coat ranging from rich fawn to mahogany with black overlay, known for intelligence, versatility and strong work drive","One of four distinct Belgian sheepdog varieties developed in the late 1800s, named after the village of Tervuren. Originally used as a versatile herding and guard dog for flocks, prized for intelligence, trainability and work ethic",38,https://storage.googleapis.com/dog-api-uploads-prod/originals/0c0410c2-7267-4734-a076-e152a1b8d396.jpeg,Male: 24-26; Female: 22-24,Male: 55-75; Female: 45-60,12-14,Male: 61-66; Female: 56-61,Male: 25-34; Female: 20-27,Belgian Tervuren,Belgium,,2,"Intelligent, courageous, alert, loyal, energetic"
,Working,CH,CH,"Large, strong, and sturdy working dog with a distinctive long tricolored coat and calm, gentle temperament. One of four types of Swiss Mountain Dogs, known for being good-natured, loyal, and an excellent family companion.","One of four types of Swiss Mountain Dogs originating in the canton of Bern. Served as all-purpose farm dogs for droving cattle, pulling carts to market, and watchdogs. Nearly extinct by early 1900s but revived through careful breeding programs",41,https://cdn4.thedogapi.com/optimized/givys4YtVB.jpg,Male: 25-27.5; Female: 23-26,Male: 80-115; Female: 70-95,7-10,Male: 64-70; Female: 58-66,Male: 36-52; Female: 32-43,Bernese Mountain Dog,Switzerland,,2,"Calm, gentle, loyal, intelligent, affectionate, good-natured"
,Non-Sporting,FR,FR,"A small, sturdy, and cheerful companion dog with a soft, curly white double coat, black eyes, and a lively, playful disposition","Descended from the Barbet, a Mediterranean water spaniel. The breed was developed in France and became a popular companion dog for European nobility. The modern breed standard was established in France after World War I.",42,https://storage.googleapis.com/dog-api-uploads-prod/originals/35738179-7493-4377-b52e-3b8387e1a532.jpeg,9.5-11.5,12-18,,24-29,5-8,Bichon Frisé,France / Belgium,,2,"Happy, playful, affectionate, intelligent, gentle, energetic"
,Hound,US,US,"Large, powerful American-bred scent hound with distinctive black and tan coat pattern and long ears, known for its cold nose, loud bawling bark, and determined trailing ability","Developed in the American South by frontiersmen in the 18th century, descending from English Foxhound, Bloodhound, and Talbot Hound crosses for raccoon hunting and tracking over rugged Appalachian terrain",43,https://storage.googleapis.com/dog-api-uploads-prod/originals/67602199-27c1-4ccb-8b7b-fc724809c63b.jpeg,Male: 25-27; Female: 23-25,65-110,10-12,Male: 64-69; Female: 58-64,29-50,Black and Tan Coonhound,United States,,2,"Friendly, outgoing, intelligent, alert, adaptable, easygoing"
,Hound,BE,BE,"Large, substantial scent hound with a noble, dignified expression, characterized by exceptional tracking ability, distinctive wrinkled face, long drooping ears, loose skin, and pendulous jowls. Renowned for its extraordinary sense of smell and unparalleled tracking abilities.","Ancient breed developed by monks at the Abbey of Saint-Hubert in Belgium and France during medieval times. Later refined in England and valued for centuries for tracking game and people, eventually imported to the US for search and rescue work.",45,https://storage.googleapis.com/dog-api-uploads-prod/originals/2f5d5e94-a9ae-4d58-a781-ed685181997a.jpeg,Male: 25-27; Female: 23-25,Male: 90-110; Female: 80-100,10-12,Male: 64-69; Female: 58-64,Male: 41-50; Female: 36-45,Bloodhound,Belgium,,2,"Gentle, friendly, independent, alert, devoted, affectionate"
,Hound,US,US,"Large, athletic, and muscular scenthound with distinctive blue-ticked coat pattern and renowned 'cold nose' trailing ability, bred specifically for tracking and treeing raccoons","Developed in Louisiana from French Grand Bleu de Gascogne hounds crossed with English Foxhounds, American Foxhounds, and other local coonhound breeds, perfected for raccoon hunting in American terrain",47,https://cdn4.thedogapi.com/optimized/ajTVVTrLne.jpg,Male: 22-27; Female: 21-25,Male: 55-80; Female: 45-65,11-12,Male: 56-69; Female: 53-64,Male: 25-36; Female: 20-29,Bluetick Coonhound,United States,,2,"Friendly, intelligent, loyal, devoted, work-focused"
,Working,ZA,ZA,"Large, powerful mastiff-type guardian breed from South Africa with a muscular build, short dense coat, and confident temperament. Known as a family guardian, the name 'Boerboel' translates to 'farmer's dog' in Afrikaans.",Developed by Dutch and other European settlers in South Africa starting in the 1600s from European mastiff breeds and native dogs. Bred as all-purpose farm dogs for protecting homesteads from predators.,48,https://cdn4.thedogapi.com/optimized/RIFlrU0fUA.jpg,Male: 24-27; Female: 22-25,Male: 150-200; Female: 110-150,9-11,Male: 61-69; Female: 56-64,Male: 68-91; Female: 50-68,Boerboel,South Africa,,2,"Confident, intelligent, loyal, protective, calm"
,Herding,GB,GB,"Medium-sized, highly intelligent, and athletic herding dog with keen expression and intense work drive, renowned for its instinctual ability to control livestock with its signature stare","Developed by shepherds on the border of England and Scotland for herding sheep in hilly terrain, refined through selective breeding for working ability. The breed's lineage can be traced back to a single dog named Old Hemp, born in 1893.",50,https://storage.googleapis.com/dog-api-uploads-prod/originals/7ac26a12-d3bd-4939-a417-cf77f414fb0d.jpeg,Male: 19-22; Female: 18-21,30-55,12-15,Male: 48-56; Female: 46-53,14-25,Border Collie,Anglo-Scottish border region,,2,"Intelligent, energetic, alert, work-focused, loyal, eager to please"
,Terrier,GB,GB,"Small, sturdy working terrier with weather-resistant wiry coat and distinctive otter-like head, bred for fox hunting with a plucky and affectionate nature",Developed in the 18th century in the Cheviot Hills along the English-Scottish border by farmers and shepherds to hunt fox alongside foxhounds. Needed to be small enough to follow quarry into dens and burrows but tough enough to keep up with horses and work independently.,51,https://storage.googleapis.com/dog-api-uploads-prod/originals/6fcf6ce9-b2df-45c0-b154-1317df7b6c2c.jpeg,Male: 13-16; Female: 11-14,Male: 13-15.5; Female: 11.5-14,12-15,Male: 33-41; Female: 28-36,Male: 6-7; Female: 5-6.5,Border Terrier,Border regions between England and Scotland,,2,"Affectionate, intelligent, alert, energetic, courageous, adaptable"
,Non-Sporting,US,US,"Compact, short-tailed dog with distinctive flat face, erect ears, and smooth 'tuxedo' coat markings. Known as 'The American Gentleman' for its friendly and intelligent demeanor.",Developed in Boston in the 1870s from crossing English Bulldog with the now-extinct White English Terrier. Refined in the late 19th century and became one of the first American-developed breeds recognized by the AKC.,53,https://cdn4.thedogapi.com/optimized/0JqHiVXBhZ.jpg,15-17,12-25,11-13,38-43,5-11,Boston Terrier,"Boston, Massachusetts, United States",,2,"Friendly, intelligent, outgoing, playful"
